#, movie, href, total gross, opening, opening daily avg, release date
"1", "Pirates of the Caribbean: Dead Man's Chest (Disney)", "/statistics/movies/pirates-of-the-caribbean-dead-man-s-chest-2006", "$423,315,199", "$135,633,757", "$45,211,252", "Jul 07, 2006"
"2", "Night at the Museum (Fox)", "/statistics/movies/night-at-the-museum-2006", "$250,863,213", "$30,434,850", "$10,144,950", "Dec 22, 2006"
"3", "Cars (Disney)", "/statistics/movies/cars-2006", "$244,082,964", "$60,118,155", "$20,039,385", "Jun 09, 2006"
"4", "X-Men: The Last Stand (Fox)", "/statistics/movies/x-men-the-last-stand-2006", "$234,362,795", "$102,750,291", "$34,250,097", "May 26, 2006"
"5", "The Da Vinci Code (Sony / Columbia)", "/statistics/movies/the-da-vinci-code-2006", "$217,536,399", "$77,073,545", "$25,691,182", "May 19, 2006"
"6", "Superman Returns (Warner Bros.)", "/statistics/movies/superman-returns-2006", "$200,081,220", "$52,535,597", "$17,511,866", "Jun 28, 2006"
"7", "Happy Feet (Warner Bros.)", "/statistics/movies/happy-feet-2006", "$198,000,841", "$41,534,608", "$13,844,869", "Nov 17, 2006"
"8", "Ice Age: The Meltdown (Fox)", "/statistics/movies/ice-age-the-meltdown-2006", "$195,330,482", "$68,032,708", "$22,677,569", "Mar 31, 2006"
"9", "Casino Royale (2006) (Sony / Columbia)", "/statistics/movies/casino-royale-2006", "$167,445,579", "$40,833,504", "$13,611,168", "Nov 17, 2006"
"10", "The Pursuit of Happyness (Sony / Columbia)", "/statistics/movies/the-pursuit-of-happyness-2006", "$163,566,344", "$26,541,215", "$8,847,072", "Dec 15, 2006"
"11", "Over the Hedge (Paramount / DreamWorks)", "/statistics/movies/over-the-hedge-2006", "$155,019,902", "$38,458,051", "$12,819,350", "May 19, 2006"
"12", "Talladega Nights: The Ballad of Ricky Bobby (Sony / Columbia)", "/statistics/movies/talladega-nights-the-ballad-of-ricky-bobby-2006", "$148,213,093", "$47,041,083", "$15,680,361", "Aug 04, 2006"
"13", "Click (Sony / Columbia)", "/statistics/movies/click-2006", "$137,355,347", "$40,011,111", "$13,337,037", "Jun 23, 2006"
"14", "Mission: Impossible III (Paramount)", "/statistics/movies/mission-impossible-iii-2006", "$134,029,548", "$47,743,172", "$15,914,391", "May 05, 2006"
"15", "The Departed (Warner Bros.)", "/statistics/movies/the-departed-2006", "$132,384,480", "$26,886,818", "$8,962,273", "Oct 06, 2006"
"16", "Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (Fox)", "/statistics/movies/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan-2006", "$128,505,664", "$26,455,990", "$8,818,663", "Nov 03, 2006"
"17", "The Devil Wears Prada (Fox)", "/statistics/movies/the-devil-wears-prada-2006", "$124,740,659", "$27,535,816", "$9,178,605", "Jun 30, 2006"
"18", "The Break-Up (Universal)", "/statistics/movies/the-break-up-2006", "$118,806,665", "$39,172,572", "$13,057,524", "Jun 02, 2006"
"19", "Dreamgirls (Paramount / DreamWorks)", "/statistics/movies/dreamgirls-2006", "$103,365,783", "$14,100,862", "$4,700,287", "Dec 15, 2006"
"20", "Scary Movie 4 (Weinstein / Dimension)", "/statistics/movies/scary-movie-4-2006", "$90,710,694", "$40,223,099", "$13,407,700", "Apr 14, 2006"
