#,movie,href,total gross,opening,opening daily avg,release date
"1","Shrek 2 (DreamWorks)","/statistics/movies/shrek-2-2004","$441,226,414","$108,038,242","$36,012,747","May 19, 2004"
"2","Spider-Man 2 (Sony / Columbia)","/statistics/movies/spider-man-2-2004","$373,524,311","$88,156,326","$29,385,442","Jun 30, 2004"
"3","The Passion of the Christ (Newmarket)","/statistics/movies/the-passion-of-the-christ-2004","$370,783,489","$83,847,691","$27,949,230","Feb 25, 2004"
"4","Meet the Fockers (Universal)","/statistics/movies/meet-the-fockers-2004","$279,261,547","$46,121,906","$15,373,969","Dec 16, 2004"
"5","The Incredibles (Disney)","/statistics/movies/the-incredibles-2004","$261,441,580","$70,467,275","$23,489,092","Nov 05, 2004"
"6","Harry Potter and the Prisoner of Azkaban (Warner Bros.)","/statistics/movies/harry-potter-and-the-prisoner-of-azkaban-2004","$249,538,372","$93,687,680","$31,229,227","Jun 04, 2004"
"7","The Day After Tomorrow (Fox)","/statistics/movies/the-day-after-tomorrow-2004","$186,740,702","$68,743,973","$22,914,658","May 28, 2004"
"8","The Polar Express (Warner Bros.)","/statistics/movies/the-polar-express-2004","$183,372,006","$23,324,698","$7,774,899","Nov 10, 2004"
"9","The Bourne Supremacy (Universal)","/statistics/movies/the-bourne-supremacy-2004","$176,241,271","$52,522,882","$17,507,627","Jul 23, 2004"
"10","National Treasure (Disney)","/statistics/movies/national-treasure-2004","$173,008,217","$35,143,366","$11,714,455","Nov 19, 2004"
"11","Shark Tale (DreamWorks)","/statistics/movies/shark-tale-2004","$160,861,093","$47,604,635","$15,868,212","Oct 01, 2004"
"12","I, Robot (Fox)","/statistics/movies/i-robot-2004","$144,795,113","$52,180,561","$17,393,520","Jul 16, 2004"
"13","Troy (Warner Bros.)","/statistics/movies/troy-2004","$133,378,121","$46,864,324","$15,621,441","May 14, 2004"
"14","Ocean's Twelve (Warner Bros.)","/statistics/movies/ocean-s-twelve-2004","$125,544,296","$39,153,793","$13,051,264","Dec 10, 2004"
"15","50 First Dates (Sony / Columbia)","/statistics/movies/50-first-dates-2004","$120,908,340","$39,852,510","$13,284,170","Feb 13, 2004"
"16","Van Helsing (Universal)","/statistics/movies/van-helsing-2004","$120,150,620","$51,747,434","$17,249,145","May 07, 2004"
"17","Fahrenheit 9/11 (Lionsgate)","/statistics/movies/fahrenheit-9-11-2004","$119,194,688","$23,920,637","$7,973,546","Jun 23, 2004"
"18","Lemony Snicket's A Series of Unfortunate Events (Paramount)","/statistics/movies/lemony-snicket-s-a-series-of-unfortunate-events-2004","$118,634,891","$30,061,803","$10,020,601","Dec 17, 2004"
"19","DodgeBall: A True Underdog Story (Fox)","/statistics/movies/dodgeball-a-true-underdog-story-2004","$114,326,303","$30,071,121","$10,023,707","Jun 18, 2004"
"20","The Village (Disney)","/statistics/movies/the-village-2004","$114,197,961","$50,747,297","$16,915,766","Jul 30, 2004"
