#, movie, href, total gross, opening, opening daily avg, release date
"1", "Star Wars: Episode III - Revenge of the Sith (Fox)", "/statistics/movies/star-wars-episode-iii-revenge-of-the-sith-2005", "$380,270,448", "$108,435,635", "$36,145,212", "May 19, 2005"
"2", "The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (Disney)", "/statistics/movies/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-2005", "$291,710,571", "$65,555,903", "$21,851,968", "Dec 09, 2005"
"3", "Harry Potter and the Goblet of Fire (Warner Bros.)", "/statistics/movies/harry-potter-and-the-goblet-of-fire-2005", "$290,013,999", "$102,686,637", "$34,228,879", "Nov 18, 2005"
"4", "War of the Worlds (Paramount)", "/statistics/movies/war-of-the-worlds-2005", "$234,280,479", "$64,878,033", "$21,626,011", "Jun 29, 2005"
"5", "King Kong (2005) (Universal)", "/statistics/movies/king-kong-2005", "$218,135,164", "$50,129,974", "$16,709,991", "Dec 14, 2005"
"6", "Wedding Crashers (New Line)", "/statistics/movies/wedding-crashers-2005", "$209,218,166", "$33,900,720", "$11,300,240", "Jul 15, 2005"
"7", "Batman Begins (Warner Bros.)", "/statistics/movies/batman-begins-2005", "$206,852,432", "$48,746,278", "$16,248,759", "Jun 15, 2005"
"8", "Charlie and the Chocolate Factory (Warner Bros.)", "/statistics/movies/charlie-and-the-chocolate-factory-2005", "$206,459,266", "$56,177,634", "$18,725,878", "Jul 15, 2005"
"9", "Madagascar (DreamWorks)", "/statistics/movies/madagascar-2005", "$193,595,331", "$47,223,568", "$15,741,189", "May 27, 2005"
"10", "Mr. & Mrs. Smith (2005) (Fox)", "/statistics/movies/mr-mrs-smith-2005", "$186,336,564", "$50,342,727", "$16,780,909", "Jun 10, 2005"
"11", "Hitch (Sony / Columbia)", "/statistics/movies/hitch-2005", "$179,495,994", "$43,142,305", "$14,380,768", "Feb 11, 2005"
"12", "The Longest Yard (2005) (Paramount)", "/statistics/movies/the-longest-yard-2005", "$158,119,106", "$47,607,501", "$15,869,167", "May 27, 2005"
"13", "Fantastic Four (2005) (Fox)", "/statistics/movies/fantastic-four-2005", "$154,696,660", "$56,061,028", "$18,687,009", "Jul 08, 2005"
"14", "Chicken Little (Disney)", "/statistics/movies/chicken-little-2005", "$135,386,342", "$40,049,339", "$13,349,780", "Nov 04, 2005"
"15", "Robots (Fox)", "/statistics/movies/robots-2005", "$128,200,217", "$36,045,904", "$12,015,301", "Mar 11, 2005"
"16", "Walk the Line (Fox)", "/statistics/movies/walk-the-line-2005", "$119,519,615", "$22,347,966", "$7,449,322", "Nov 18, 2005"
"17", "The Pacifier (Disney)", "/statistics/movies/the-pacifier-2005", "$113,086,910", "$30,552,341", "$10,184,114", "Mar 04, 2005"
