#,movie,href,total gross,opening,opening daily avg,release date
"1","Marvel's The Avengers (Disney)","/statistics/movies/the-avengers-2012-2012","$623,357,910","$207,438,708","$69,146,236","May 04, 2012"
"2","The Dark Knight Rises (Warner Bros.)","/statistics/movies/batman-3-2012","$448,139,099","$160,887,295","$53,629,098","Jul 20, 2012"
"3","The Hunger Games (Lionsgate)","/statistics/movies/the-hunger-games-2012","$408,010,692","$152,535,747","$50,845,249","Mar 23, 2012"
"4","Skyfall (Sony / Columbia)","/statistics/movies/bond-23-2012","$304,360,277","$88,364,714","$29,454,905","Nov 08, 2012"
"5","The Hobbit: An Unexpected Journey (Warner Bros. / New Line)","/statistics/movies/the-hobbit-an-unexpected-journey-2012","$303,003,568","$84,617,303","$28,205,768","Dec 14, 2012"
"6","The Twilight Saga: Breaking Dawn - Part 2 (Lionsgate / Summit)","/statistics/movies/the-twilight-saga-breaking-dawn-part-2-2012","$292,324,737","$141,067,634","$47,022,545","Nov 16, 2012"
"7","The Amazing Spider-Man (Sony / Columbia)","/statistics/movies/spider-man-4-2011","$262,030,663","$62,004,688","$20,668,229","Jul 03, 2012"
"8","Brave (Disney)","/statistics/movies/the-bear-and-the-bow-1900","$237,283,207","$66,323,594","$22,107,865","Jun 22, 2012"
"9","Ted (2012) (Universal)","/statistics/movies/ted-2012","$218,665,740","$54,415,205","$18,138,402","Jun 29, 2012"
"10","Madagascar 3: Europe's Most Wanted (Paramount / DreamWorks)","/statistics/movies/madagascar-3-working-title-2012","$216,391,482","$60,316,738","$20,105,579","Jun 08, 2012"
"11","Dr. Seuss' The Lorax (Universal)","/statistics/movies/dr-seuss-the-lorax-2012","$214,030,500","$70,217,070","$23,405,690","Mar 02, 2012"
"12","Wreck-It Ralph (Disney)","/statistics/movies/reboot-ralph-2013","$189,422,889","$49,038,712","$16,346,237","Nov 02, 2012"
"13","Lincoln (Disney / DreamWorks)","/statistics/movies/lincoln-2012","$182,207,973","$944,308","$314,769","Nov 09, 2012"
"14","Men in Black 3 (Sony / Columbia)","/statistics/movies/men-in-black-3-2012","$179,020,854","$54,592,779","$18,197,593","May 25, 2012"
"15","Django Unchained (Weinstein Company)","/statistics/movies/django-unchained-2012","$162,805,434","$30,122,888","$10,040,963","Dec 25, 2012"
"16","Ice Age: Continental Drift (Fox)","/statistics/movies/ice-age-continental-drift-2012","$161,321,843","$46,629,259","$15,543,086","Jul 13, 2012"
"17","Snow White and the Huntsman (Universal)","/statistics/movies/snow-white-and-the-huntsman-2012","$155,136,755","$56,217,700","$18,739,233","Jun 01, 2012"
"18","Les Miserables (2012) (Universal)","/statistics/movies/les-miserables-2012-2012","$148,809,770","$27,281,735","$9,093,912","Dec 25, 2012"
"19","Hotel Transylvania (Sony / Columbia)","/statistics/movies/hotel-transylvania-in-3d-2011","$148,313,048","$42,522,194","$14,174,065","Sep 28, 2012"
"20","Taken 2 (Fox)","/statistics/movies/taken-2-2013","$139,854,287","$49,514,769","$16,504,923","Oct 05, 2012"
"21","21 Jump Street (Sony / Columbia)","/statistics/movies/21-jump-street-2012","$138,447,667","$36,302,612","$12,100,871","Mar 16, 2012"
"22","Argo (Warner Bros.)","/statistics/movies/argo-2012","$136,025,503","$19,458,109","$6,486,036","Oct 12, 2012"
"23","Silver Linings Playbook (Weinstein Company)","/statistics/movies/the-silver-linings-playbook-2012","$132,092,958","$443,003","$147,668","Nov 16, 2012"
"24","Prometheus (Fox)","/statistics/movies/prometheus-2012","$126,477,084","$51,050,101","$17,016,700","Jun 08, 2012"
"25","Safe House (Universal)","/statistics/movies/safe-house-2012","$126,181,630","$40,172,720","$13,390,907","Feb 10, 2012"
"26","The Vow (Sony / Screen Gems)","/statistics/movies/the-vow-2012","$125,014,030","$41,202,458","$13,734,153","Feb 10, 2012"
"27","Life of Pi (Fox)","/statistics/movies/life-of-pi-2012","$124,987,023","$22,451,514","$7,483,838","Nov 21, 2012"
"28","Magic Mike (Warner Bros.)","/statistics/movies/magic-mike-2012","$113,721,571","$39,127,170","$13,042,390","Jun 29, 2012"
"29","The Bourne Legacy (Universal)","/statistics/movies/the-bourne-legacy-2012","$113,203,870","$38,142,825","$12,714,275","Aug 10, 2012"
"30","Journey 2: The Mysterious Island (Warner Bros. / New Line)","/statistics/movies/journey-to-the-center-of-the-earth-2-2011","$103,860,290","$27,335,363","$9,111,788","Feb 10, 2012"
"31","Rise of The Guardians (Paramount / DreamWorks)","/statistics/movies/the-guardians-working-title-2012","$103,412,758","$23,773,465","$7,924,488","Nov 21, 2012"
"32","Zero Dark Thirty (Sony / Columbia)","/statistics/movies/untitled-kathryn-bigelow-seal-team-6-film-2012","$95,720,716","$417,150","$139,050","Dec 19, 2012"
"33","Flight (Paramount)","/statistics/movies/flight-2012","$93,772,375","$24,900,566","$8,300,189","Nov 02, 2012"
"34","Think Like a Man (Sony / Screen Gems)","/statistics/movies/think-like-a-man-2012","$91,547,205","$33,636,303","$11,212,101","Apr 20, 2012"
