#, movie, href, release date, gross
"1", "Avatar (Fox)", "/statistics/movies/avatar-2009", "Dec 18, 2009", "$760,507,625"
"2", "Titanic (Paramount)", "/statistics/movies/titanic-1997", "Dec 19, 1997", "$658,672,302"
"3", "Marvel's The Avengers (Disney)", "/statistics/movies/the-avengers-2012-2012", "May 04, 2012", "$623,357,910"
"4", "Jurassic World (Universal)", "/statistics/movies/jurassic-park-4-2014", "Jun 12, 2015", "$616,902,775"
"5", "The Dark Knight (Warner Bros.)", "/statistics/movies/the-dark-knight-2008", "Jul 18, 2008", "$534,858,444"
"6", "Star Wars: Episode I - The Phantom Menace (Fox)", "/statistics/movies/star-wars-episode-i-the-phantom-menace-1999", "May 19, 1999", "$474,544,249"
"7", "Star Wars (Fox)", "/statistics/movies/star-wars-1977", "May 25, 1977", "$460,998,882"
"8", "Avengers: Age of Ultron (Disney)", "/statistics/movies/untitled-marvels-avengers-sequel-2015", "May 01, 2015", "$456,282,828"
"9", "The Dark Knight Rises (Warner Bros.)", "/statistics/movies/batman-3-2012", "Jul 20, 2012", "$448,139,099"
"10", "Shrek 2 (DreamWorks)", "/statistics/movies/shrek-2-2004", "May 19, 2004", "$441,226,414"
"11", "E.T.: The Extra-Terrestrial (Universal)", "/statistics/movies/e-t-the-extra-terrestrial-1982", "Jun 11, 1982", "$435,110,890"
"12", "The Hunger Games: Catching Fire (Lionsgate)", "/statistics/movies/catching-fire-2013", "Nov 22, 2013", "$424,668,047"
"13", "Pirates of the Caribbean: Dead Man's Chest (Disney)", "/statistics/movies/pirates-of-the-caribbean-dead-man-s-chest-2006", "Jul 07, 2006", "$423,315,199"
"14", "The Lion King (Disney)", "/statistics/movies/the-lion-king-1994", "Jun 15, 1994", "$422,783,937"
"15", "Toy Story 3 (Disney)", "/statistics/movies/toy-story-3-2010", "Jun 18, 2010", "$415,004,880"
"16", "Iron Man 3 (Disney)", "/statistics/movies/iron-man-3-2013", "May 03, 2013", "$409,013,994"
"17", "The Hunger Games (Lionsgate)", "/statistics/movies/the-hunger-games-2012", "Mar 23, 2012", "$408,010,692"
"18", "Spider-Man (Sony / Columbia)", "/statistics/movies/spider-man-2002", "May 03, 2002", "$403,706,983"
"19", "Jurassic Park (Universal)", "/statistics/movies/jurassic-park-1993", "Jun 11, 1993", "$402,453,925"
"20", "Transformers: Revenge of the Fallen (Paramount / DreamWorks)", "/statistics/movies/transformers-revenge-of-the-fallen-2009", "Jun 24, 2009", "$402,111,347"
"21", "Frozen (2013) (Disney)", "/statistics/movies/untitled-disneypixar-film-2013", "Nov 22, 2013", "$400,738,009"
"22", "Harry Potter and the Deathly Hallows: Part 2 (Warner Bros.)", "/statistics/movies/harry-potter-and-the-deathly-hallows-part-two-2011", "Jul 15, 2011", "$381,011,219"
"23", "Finding Nemo (Disney)", "/statistics/movies/finding-nemo-2003", "May 30, 2003", "$380,842,919"
"24", "Star Wars: Episode III - Revenge of the Sith (Fox)", "/statistics/movies/star-wars-episode-iii-revenge-of-the-sith-2005", "May 19, 2005", "$380,270,448"
"25", "The Lord of the Rings: The Return of the King (New Line)", "/statistics/movies/the-lord-of-the-rings-the-return-of-the-king-2003", "Dec 17, 2003", "$377,846,443"
"26", "Spider-Man 2 (Sony / Columbia)", "/statistics/movies/spider-man-2-2004", "Jun 30, 2004", "$373,524,311"
"27", "The Passion of the Christ (Newmarket)", "/statistics/movies/the-passion-of-the-christ-2004", "Feb 25, 2004", "$370,783,489"
"28", "Despicable Me 2 (Universal)", "/statistics/movies/despicable-me-2-2013", "Jul 03, 2013", "$368,065,385"
"29", "Transformers: Dark of the Moon (Paramount / DreamWorks)", "/statistics/movies/transformers-3-2011", "Jun 28, 2011", "$352,390,543"
"30", "Furious 7 (Universal)", "/statistics/movies/fast-furious-7-2014", "Apr 03, 2015", "$351,032,910"
"31", "American Sniper (Warner Bros.)", "/statistics/movies/american-sniper-2014", "Dec 25, 2014", "$350,126,372"
"32", "The Lord of the Rings: The Two Towers (New Line)", "/statistics/movies/the-lord-of-the-rings-the-two-towers-2002", "Dec 18, 2002", "$342,550,877"
"33", "The Hunger Games: Mockingjay - Part 1 (Lionsgate)", "/statistics/movies/the-hunger-games-mockingjay-part-1-2014", "Nov 21, 2014", "$337,135,885"
"34", "Spider-Man 3 (Sony / Columbia)", "/statistics/movies/spider-man-3-2007", "May 04, 2007", "$336,530,590"
"35", "Alice in Wonderland (2010) (Disney)", "/statistics/movies/alice-in-wonderland-2010-2010", "Mar 05, 2010", "$334,191,110"
"36", "Guardians of the Galaxy (Disney)", "/statistics/movies/marvel-untitled-1-2014", "Aug 01, 2014", "$333,176,600"
"37", "Forrest Gump (Paramount)", "/statistics/movies/forrest-gump-1994", "Jul 06, 1994", "$330,252,182"
"38", "Shrek the Third (Paramount / DreamWorks)", "/statistics/movies/shrek-the-third-2007", "May 18, 2007", "$322,719,455"
"39", "Transformers (Paramount / DreamWorks)", "/statistics/movies/transformers-2007", "Jul 03, 2007", "$319,246,139"
"40", "Iron Man (Paramount)", "/statistics/movies/iron-man-2008", "May 02, 2008", "$318,412,855"
"41", "Harry Potter and the Sorcerer's Stone (Warner Bros.)", "/statistics/movies/harry-potter-and-the-sorcerer-s-stone-2001", "Nov 16, 2001", "$317,575,047"
"42", "Indiana Jones and the Kingdom of the Crystal Skull (Paramount)", "/statistics/movies/indiana-jones-and-the-kingdom-of-the-crystal-skull-2008", "May 22, 2008", "$317,101,243"
"43", "The Lord of the Rings: The Fellowship of the Ring (New Line)", "/statistics/movies/the-lord-of-the-rings-the-fellowship-of-the-ring-2001", "Dec 19, 2001", "$314,776,383"
"44", "Inside Out (2015) (Disney)", "/statistics/movies/untitled-pixar-movie-that-takes-you-2015", "Jun 19, 2015", "$312,978,811"
"45", "Iron Man 2 (Paramount)", "/statistics/movies/iron-man-2-2010", "May 07, 2010", "$312,128,345"
"46", "Star Wars: Episode II - Attack of the Clones (Fox)", "/statistics/movies/star-wars-episode-ii-attack-of-the-clones-2002", "May 16, 2002", "$310,676,344"
"47", "Pirates of the Caribbean: At World's End (Disney)", "/statistics/movies/pirates-of-the-caribbean-at-world-s-end-2007", "May 25, 2007", "$309,420,379"
"48", "Return of the Jedi (Fox)", "/statistics/movies/return-of-the-jedi-1983", "May 25, 1983", "$309,306,996"
"49", "Independence Day (Fox)", "/statistics/movies/independence-day-1996", "Jul 03, 1996", "$306,169,262"
"50", "Pirates of the Caribbean: The Curse of the Black Pearl (Disney)", "/statistics/movies/pirates-of-the-caribbean-the-curse-of-the-black-pearl-2003", "Jul 09, 2003", "$305,413,236"
"51", "Skyfall (Sony / Columbia)", "/statistics/movies/bond-23-2012", "Nov 08, 2012", "$304,360,277"
"52", "The Hobbit: An Unexpected Journey (Warner Bros. / New Line)", "/statistics/movies/the-hobbit-an-unexpected-journey-2012", "Dec 14, 2012", "$303,003,568"
"53", "Harry Potter and the Half-Blood Prince (Warner Bros.)", "/statistics/movies/harry-potter-and-the-half-blood-prince-2009", "Jul 15, 2009", "$301,959,187"
"54", "The Twilight Saga: Eclipse (Summit)", "/statistics/movies/the-twilight-saga-eclipse-2010", "Jun 30, 2010", "$300,531,751"
"55", "The Twilight Saga: New Moon (Summit)", "/statistics/movies/the-twilight-saga-new-moon-2009", "Nov 20, 2009", "$296,639,747"
"56", "Harry Potter and the Deathly Hallows: Part 1 (Warner Bros.)", "/statistics/movies/harry-potter-and-the-deathly-hallows-part-one-2010", "Nov 19, 2010", "$295,983,305"
"57", "The Sixth Sense (Disney)", "/statistics/movies/the-sixth-sense-1999", "Aug 06, 1999", "$293,506,977"
"58", "Up (Disney)", "/statistics/movies/up-2009", "May 29, 2009", "$293,003,689"
"59", "Inception (Warner Bros.)", "/statistics/movies/inception-2010", "Jul 16, 2010", "$292,576,195"
"60", "The Twilight Saga: Breaking Dawn - Part 2 (Lionsgate / Summit)", "/statistics/movies/the-twilight-saga-breaking-dawn-part-2-2012", "Nov 16, 2012", "$292,324,737"
"61", "Harry Potter and the Order of the Phoenix (Warner Bros.)", "/statistics/movies/harry-potter-and-the-order-of-the-phoenix-2007", "Jul 11, 2007", "$292,004,517"
"62", "The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (Disney)", "/statistics/movies/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-2005", "Dec 09, 2005", "$291,710,571"
"63", "Man of Steel (Warner Bros.)", "/statistics/movies/superman-man-of-steel-2012", "Jun 13, 2013", "$291,045,518"
"64", "The Empire Strikes Back (Fox)", "/statistics/movies/the-empire-strikes-back-1980", "May 21, 1980", "$290,271,915"
"65", "Harry Potter and the Goblet of Fire (Warner Bros.)", "/statistics/movies/harry-potter-and-the-goblet-of-fire-2005", "Nov 18, 2005", "$290,013,999"
"66", "Monsters, Inc. (Disney)", "/statistics/movies/monsters-inc-2001", "Nov 02, 2001", "$289,762,882"
"67", "Home Alone (Fox)", "/statistics/movies/home-alone-1990", "Nov 16, 1990", "$285,761,269"
"68", "The Matrix Reloaded (Warner Bros.)", "/statistics/movies/the-matrix-reloaded-2003", "May 15, 2003", "$281,553,328"
"69", "The Twilight Saga: Breaking Dawn - Part 1 (Lionsgate / Summit)", "/statistics/movies/the-twilight-saga-breaking-dawn-2011", "Nov 18, 2011", "$281,287,133"
"70", "Meet the Fockers (Universal)", "/statistics/movies/meet-the-fockers-2004", "Dec 16, 2004", "$279,261,547"
"71", "The Hangover (Warner Bros.)", "/statistics/movies/the-hangover-2009", "Jun 05, 2009", "$277,322,696"
"72", "Gravity (Warner Bros.)", "/statistics/movies/gravity-2012", "Oct 04, 2013", "$274,092,705"
"73", "Monsters University (Disney)", "/statistics/movies/monsters-inc-2-2012", "Jun 21, 2013", "$268,492,764"
"74", "Shrek (DreamWorks)", "/statistics/movies/shrek-2001", "May 16, 2001", "$267,665,130"
"75", "The Amazing Spider-Man (Sony / Columbia)", "/statistics/movies/spider-man-4-2011", "Jul 03, 2012", "$262,030,663"
"76", "Harry Potter and the Chamber of Secrets (Warner Bros.)", "/statistics/movies/harry-potter-and-the-chamber-of-secrets-2002", "Nov 15, 2002", "$261,988,168"
"77", "The Incredibles (Disney)", "/statistics/movies/the-incredibles-2004", "Nov 05, 2004", "$261,441,580"
"78", "How the Grinch Stole Christmas (Universal)", "/statistics/movies/how-the-grinch-stole-christmas-2000", "Nov 17, 2000", "$260,044,175"
"79", "Jaws (Universal)", "/statistics/movies/jaws-1975", "Jun 20, 1975", "$260,000,591"
"80", "Captain America: The Winter Soldier (Disney)", "/statistics/movies/captain-america-2-2014", "Apr 04, 2014", "$259,766,572"
"81", "The Hobbit: The Desolation of Smaug (Warner Bros. / New Line)", "/statistics/movies/the-hobbit-there-and-back-again-2013", "Dec 13, 2013", "$258,366,855"
"82", "The LEGO Movie (Warner Bros.)", "/statistics/movies/lego-2014", "Feb 07, 2014", "$257,760,692"
"83", "Star Trek (Paramount)", "/statistics/movies/star-trek-2009", "May 08, 2009", "$257,730,024"
"84", "I Am Legend (Warner Bros.)", "/statistics/movies/i-am-legend-2007", "Dec 14, 2007", "$256,393,949"
"85", "The Blind Side (Warner Bros.)", "/statistics/movies/the-blind-side-2009", "Nov 20, 2009", "$255,959,000"
"86", "The Hobbit: The Battle of the Five Armies (Warner Bros. / New Line)", "/statistics/movies/untitled-third-hobbit-film-2014", "Dec 17, 2014", "$255,119,788"
"87", "The Hangover Part II (Warner Bros.)", "/statistics/movies/the-hangover-2-2011", "May 26, 2011", "$254,464,305"
"88", "Batman (1989) (Warner Bros.)", "/statistics/movies/batman-1989", "Jun 23, 1989", "$252,101,403"
"89", "Despicable Me (Universal)", "/statistics/movies/despicable-me-2010", "Jul 09, 2010", "$251,513,985"
"90", "Night at the Museum (Fox)", "/statistics/movies/night-at-the-museum-2006", "Dec 22, 2006", "$250,863,213"
"91", "Men in Black (Sony / Columbia)", "/statistics/movies/men-in-black-1997", "Jul 02, 1997", "$250,690,756"
"92", "Harry Potter and the Prisoner of Azkaban (Warner Bros.)", "/statistics/movies/harry-potter-and-the-prisoner-of-azkaban-2004", "Jun 04, 2004", "$249,538,372"
"93", "Raiders of the Lost Ark (Paramount)", "/statistics/movies/raiders-of-the-lost-ark-1981", "Jun 12, 1981", "$248,159,971"
"94", "Toy Story 2 (Disney)", "/statistics/movies/toy-story-2-1999", "Nov 19, 1999", "$245,852,199"
