排名, 上週, 北美週末, 增率, 累積新台幣, 周次, 連結, 片名, 英文片名, Youtube, 時間, 海報, 上市, IMDB, IMDB_vote, imdb_ID
"3", "新", "3020萬0000", "*", "3020萬0000", "1", "http://us.dorama.info/drama-15001.html", "姐姐愛最大", "Trainwreck", "ABGVZwLkIM4", "122 min", "http://ia.media-imdb.com/images/M/MV5BMTQ4MjgwNTMyOV5BMl5BanBnXkFtZTgwMTc1MjI0NDE@._V1_SX300.jpg", "17 Jul 2015", "6.1", "487", "tt3152624"
"1", "新", "5804萬0000", "*", "5804萬0000", "1", "http://us.dorama.info/drama-9887.html", "蟻人", "Ant-Man", "KX5-nr2Ms8I", "117 min", "http://ia.media-imdb.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_SX300.jpg", "17 Jul 2015", "8.3", "1483", "tt0478970"
"4", "3", "1166萬0000", "-31.8 %", "3億0636萬3000", "5", "http://us.dorama.info/drama-13681.html", "腦筋急轉彎", "Inside Out", "WMlzCP5u2w8", "94 min", "http://ia.media-imdb.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg", "19 Jun 2015", "8.7", "44496", "tt2096673"
"5", "2", "1140萬0000", "-37.0 %", "6億1117萬4000", "6", "http://us.dorama.info/drama-12100.html", "侏羅紀世界", "Jurassic World", "ZqZgMdNopd8", "124 min", "http://ia.media-imdb.com/images/M/MV5BMTQ5MTE0MTk3Nl5BMl5BanBnXkFtZTgwMjczMzk2NTE@._V1_SX300.jpg", "12 Jun 2015", "7.4", "176668", "tt0369610"
"10", "新", "0248萬9000", "*", "0248萬9000", "1", "http://ea.dorama.info/drama-14328.html", "福爾摩斯先生", "Mr. Holmes", "Ijffh-RMgwc", "104 min", "http://ia.media-imdb.com/images/M/MV5BMTg5MjE0Njk0MF5BMl5BanBnXkFtZTgwNTgwMjQ4NTE@._V1_SX300.jpg", "17 Jul 2015", "7.7", "2528", "tt3168230"
"2", "1", "5020萬0000", "-56.4 %", "2億1669萬2000", "2", "http://us.dorama.info/drama-10636.html", "小小兵", "Minions", "WlfIYn8-1pI", "104 min", "http://ia.media-imdb.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1_SX300.jpg", "10 Jul 2015", "N/A", "N/A", "tt2293640"
"7", "6", "0450萬0000", "-53.3 %", "5863萬6000", "3", "http://us.dorama.info/drama-11762.html", "舞力麥克：尺度極限XXL", "Magic Mike XXL", "8rNMHrqw12U", "115 min", "http://ia.media-imdb.com/images/M/MV5BMjAyNzExNzczNF5BMl5BanBnXkFtZTgwOTgxMTMzNTE@._V1_SX300.jpg", "1 Jul 2015", "N/A", "N/A", "tt2268016"
"8", "5", "0400萬5000", "-60.0 %", "1800萬7000", "2", "http://us.dorama.info/drama-14978.html", "絞刑台", "The Gallows", "f5CzCBd98JU", "N/A", "http://ia.media-imdb.com/images/M/MV5BMTU2MTMyOTkwM15BMl5BanBnXkFtZTgwOTQzNjc3NTE@._V1_SX300.jpg", "10 Jul 2015", "N/A", "N/A", "tt2309260"
"6", "4", "0540萬0000", "-60.6 %", "8064萬0000", "3", "http://us.dorama.info/drama-9500.html", "魔鬼終結者:創世契機", "Terminator: Genisys", "5f4tgcwleiI", "N/A", "N/A", "1 Jul 2015", "N/A", "N/A", "tt4577326"
"11", "新", "0242萬5000", "*", "0242萬5000", "1", "http://asia.dorama.info/drama-15221.html", "Bajrangi Bhaijaan", "Bajrangi Bhaijaan", "vyX4toD395U", "N/A", "N/A", "17 Jul 2015", "N/A", "N/A", "tt3863552"
"9", "7", "0270萬0000", "-51.8 %", "7745萬7000", "4", "http://us.dorama.info/drama-10455.html", "熊麻吉2", "Ted 2", "R-zql-bTcrM", "115 min", "http://ia.media-imdb.com/images/M/MV5BMjEwMDg3MDk1NF5BMl5BanBnXkFtZTgwNjYyODA1NTE@._V1_SX300.jpg", "26 Jun 2015", "7.1", "5979", "tt2637276"
